title,price,location,link
Casa de condomínio em Avenida Deputado Federal Mário Eugênio - Parque Residencial Damha -,R$ 3.600.000,"Araraquara, Parque Residencial Damha",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-deputado-federal-mario-eugenio-parque-residencial-damha-1474667910
Apartamento em Rua Doutor Giuseppe Aufiero Sobrinho - Jardim Residencial Elvio Lupo - Arar,R$ 390.000,"Araraquara, Jardim Residencial Elvio Lupo",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-rua-doutor-giuseppe-aufiero-sobrinho-jardim-residencial-elvio-lupo-arar-1474667428
Casa de condomínio em Avenida Miguel Damha - Residencial Village Damha II - Araraquara/SP,R$ 690.000,"Araraquara, Residencial Village Damha II",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-miguel-damha-residencial-village-damha-ii-araraquara-sp-1474667065
Casa em Avenida Dalvo de Freitas Luiz - Jardim das Flores - Araraquara/SP,R$ 87.819,"Araraquara, Jardim das Flores",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-avenida-dalvo-de-freitas-luiz-jardim-das-flores-araraquara-sp-1474666977
Casa de condomínio em Rua Manoel Clemente - Jardim Maria Luiza IV - Araraquara/SP,R$ 509.449,"Araraquara, Jardim Maria Luiza IV",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-rua-manoel-clemente-jardim-maria-luiza-iv-araraquara-sp-1474666589
Apartamento em Avenida Dom Carlos Carmelo - Jardim Botânico - Araraquara/SP,R$ 289.260,"Araraquara, Jardim Botânico",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-avenida-dom-carlos-carmelo-jardim-botanico-araraquara-sp-1474666572
Casa de condomínio em Avenida Deputado Federal Mário Eugênio - Parque Residencial Damha -,R$ 1.889.130,"Araraquara, Parque Residencial Damha",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-deputado-federal-mario-eugenio-parque-residencial-damha-1474666271
Apartamento em Rua Gavião Peixoto - Jardim Califórnia - Araraquara/SP,R$ 168.550,"Araraquara, Jardim Califórnia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-rua-gaviao-peixoto-jardim-california-araraquara-sp-1474665679
Apartamento em Avenida Cristóvão Colombo - Centro - Araraquara/SP,R$ 978.170,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-avenida-cristovao-colombo-centro-araraquara-sp-1474664941
Casa em Avenida Doutor Adhemar Pereira de Barros - Vila Melhado - Araraquara/SP,R$ 799.500,"Araraquara, Vila Melhado",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-em-avenida-doutor-adhemar-pereira-de-barros-vila-melhado-araraquara-sp-1474664537
