title,price,location,link
APARTAMENTO - ARARAQUARA/SP - BAIRRO VILA XAVIER - 2 QUARTOS,R$ 180.000,"Araraquara, Jardim Brasil (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-araraquara-sp-bairro-vila-xavier-2-quartos-1474767991
CASA A VENDA PARQUE SÃO PAULO,R$ 90.000,"Araraquara, Parque São Paulo (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-a-venda-parque-sao-paulo-1475653414
Venda de Casas / Condomínio na cidade de Araraquara,R$ 750.000,"Araraquara, Campos Ville",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1475634954
Casa exclusiva 3 suítes + piscina + escritório PARQUE ATLANTA,R$ 890.000,"Araraquara, Parque Atlanta",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-exclusiva-3-suites-piscina-escritorio-parque-atlanta-1460220123
SOBRADO MARAVILHOSO PRONTO PARA MORAR EM CONDOMÍNIO FECHADO!,R$ 990.000,"Araraquara, Parque Residencial Damha",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/sobrado-maravilhoso-pronto-para-morar-em-condominio-fechado-1475615414
Casa de leilão em JARDIM DOS FLAMBOYANTS / ARARAQUARA / SP | Leilão SFI - Edital Único,R$ 715.000,"Araraquara, Jardim dos Flamboyants",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-leilao-em-jardim-dos-flamboyants-araraquara-sp-leilao-sfi-edital-unico-1475612278
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 170.000,"Araraquara, Vila Cidade Industrial (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1475595572
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 150.000,"Araraquara, Jardim Residencial Paraíso",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1475594957
Venda de Casas / Padrão na cidade de Araraquara,R$ 320.000,"Araraquara, Vila Xavier (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475594912
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 660.000,"Araraquara, Vila Yamada",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1475594881
Venda de Casas / Condomínio na cidade de Araraquara,R$ 650.000,"Araraquara, Jardim Santa Angelina",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1475594855
Venda de Casas / Padrão na cidade de Araraquara,R$ 480.000,"Araraquara, Vila Xavier (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475594837
Venda de Casas / Condomínio na cidade de Araraquara,R$ 595.000,"Araraquara, Jardim dos Flamboyants",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1475594843
APARTAMENTO - CONDOMINIO RESIDENCIAL ASTER 1,R$ 129.900,"Araraquara, Jardim Quitandinha II",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-condominio-residencial-aster-1-1475581929
Venda de Casas / Padrão na cidade de Araraquara,R$ 395.000,"Araraquara, Vila Xavier (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475578179
Venda de Casas / Padrão na cidade de Araraquara,R$ 260.000,"Araraquara, Jardim Del Rei",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475578077
Venda de Casas / Padrão na cidade de Araraquara,R$ 160.000,"Araraquara, Parque Residencial Iguatemi",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475576284
Venda de Casas / Padrão na cidade de Araraquara,R$ 450.000,"Araraquara, Vila Harmonia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475576117
"Edifício Jacarandá 3 suítes, Araraquara/SP",R$ 680.000,"Araraquara, Vila Yamada",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/edificio-jacaranda-3-suites-araraquara-sp-1475575795
Venda de Apartamentos / Studio na cidade de Araraquara,R$ 1.100.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-studio-na-cidade-de-araraquara-1475575460
Venda de Casas / Padrão na cidade de Araraquara,R$ 260.000,"Araraquara, Vila Harmonia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475575341
"Apartamento à venda, Centro, Araraquara, SP",R$ 1.950.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-centro-araraquara-sp-1475573480
"Apartamento à venda, CENTRO, Araraquara, SP",R$ 187.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-centro-araraquara-sp-1475572881
"Apartamento à venda, CENTRO, Araraquara, SP",R$ 530.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-centro-araraquara-sp-1475572772
Casa de condomínio para venda possui 230 metros quadrados,R$ 1.590.000,"Araraquara, Quinta do Salto Residence",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-para-venda-possui-230-metros-quadrados-1464481993
"Casa com 2 dormitórios à venda, 157 m² por R$ 350.000,00 - Jardim Nova Araraquara - Araraq",R$ 1.150.000,"Araraquara, Jardim Nova Araraquara",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-com-2-dormitorios-a-venda-157-m-por-r-350-000-00-jardim-nova-araraquara-araraq-1475548194
"Apartamento no Residencial Aurora com 2 dormitórios à venda, 83 m² por R$ 187.000 - Altos",R$ 342.875,"Araraquara, Altos do Jaraguá",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-no-residencial-aurora-com-2-dormitorios-a-venda-83-m-por-r-187-000-altos-1475547084
"Direitos do Apartamento, 99m², Cond. Parque Álamo, Araraquara/SP",R$ 270.000,"Araraquara, Parque Laranjeiras",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/direitos-do-apartamento-99m-cond-parque-alamo-araraquara-sp-1475541700
"Edifício Jardim Paulistano 3 dormitórios, suíte e varanda",R$ 190.000,"Araraquara, Vila Cidade Industrial (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/edificio-jardim-paulistano-3-dormitorios-suite-e-varanda-1475508094
"Condomínio Altos do Jaraguá Casa ampla em terreno de 420 m², com suíte master, área gourm",R$ 200.000,"Araraquara, Altos do Jaraguá",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/condominio-altos-do-jaragua-casa-ampla-em-terreno-de-420-m-com-suite-master-area-gourm-1475506541
Casa de condomínio para venda com 185 metros quadrados com 3 quartos,R$ 360.000,"Araraquara, Residencial Village Damha",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-para-venda-com-185-metros-quadrados-com-3-quartos-1434812783
Casa - Adalberto Roxo ao lado Vistas do Horto,R$ 170.000,"Araraquara, Jardim Adalberto Frederico de Oliveira Roxo I",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-adalberto-roxo-ao-lado-vistas-do-horto-1475493327
Casa de condomínio para venda com 300 metros quadrados com 4 quartos,R$ 89.575,"Araraquara, Jardim Residencial Maggiore",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-para-venda-com-300-metros-quadrados-com-4-quartos-1475462988
"Apartamento de 2 quartos, fácil acesso às universidades e ao centro.",R$ 220.000,"Araraquara, Jardim Califórnia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-de-2-quartos-facil-acesso-as-universidades-e-ao-centro-1475394062
Oportunidade Única em ARARAQUARA - SP | Tipo: Casa | Negociação: Venda Online | Situação:,R$ 89.575,"Araraquara, Cidade Jardim",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-casa-negociacao-venda-online-situacao-1475395619
"Apartamento com ótima localização, próximo a escolas e creches.",R$ 342.875,"Araraquara, Jardim Residencial Paraíso",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-com-otima-localizacao-proximo-a-escolas-e-creches-1475393597
Casa Padrão em Araraquara,R$ 79.564,"Araraquara, Jardim Uirapuru II",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-padrao-em-araraquara-1475392639
Apartamento Padrão em Araraquara,R$ 342.875,"Araraquara, Vila Ferroviária",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-padrao-em-araraquara-1475392434
"Apartamento com excelente localização, próximo a supermercados e faculdades.",R$ 89.575,"Araraquara, Altos do Jaraguá",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-com-excelente-localizacao-proximo-a-supermercados-e-faculdades-1475392156
OPORTUNIDADE!,R$ 285.000,"Araraquara, Vila Xavier (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-1475392157
Apartamento Padrão em Araraquara,R$ 150.000,"Araraquara, Jardim Botânico",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-padrao-em-araraquara-1475392158
VENDA OU PERMUTA!,R$ 89.575,"Araraquara, Residencial Village Damha II",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-ou-permuta-1475376966
Venda de Casas / Padrão na cidade de Araraquara,R$ 202.539,"Araraquara, Jardim Tabapuã (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475374695
Venda de Casas / Condomínio na cidade de Araraquara,R$ 1.600.000,"Araraquara, Condomínio Portal das Tipuanas",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1475374476
"TERRENO - Terreno sem construção, localizado na Avenida Edmundo Lupo s/n, lote 17, quadra",R$ 170.000,"Araraquara, Jardim Morumbi",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/terreno-terreno-sem-construcao-localizado-na-avenida-edmundo-lupo-s-n-lote-17-quadra-1475371969
"CASA - Av Roberto Jose Fiore, n.742, Jardim Imperial - Araraquara/SP",R$ 383.482,"Araraquara, Jardim Esplanada",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-av-roberto-jose-fiore-n-742-jardim-imperial-araraquara-sp-1475371590
Araraquara/SP - JARDIM AMERICA (VILA XAVIER),R$ 89.575,"Araraquara, Jardim América (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/araraquara-sp-jardim-america-vila-xavier-1475368599
Araraquara/SP - CIDADE JARDIM,R$ 342.875,"Araraquara, Cidade Jardim",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/araraquara-sp-cidade-jardim-1475368594
Casa no Jardim Maria Luiza IV à venda ou locação com 3 dormitórios e suíte - Araraquara,R$ 220.000,"Araraquara, Jardim Maria Luiza IV",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-no-jardim-maria-luiza-iv-a-venda-ou-locacao-com-3-dormitorios-e-suite-araraquara-1475354146
"Casa à venda ou locação no Igaçaba 2 dormitórios, edícula e ambientes planejados",R$ 320.000,"Araraquara, Parque Residencial Vale do Sol",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-a-venda-ou-locacao-no-igacaba-2-dormitorios-edicula-e-ambientes-planejados-1475353801
Oportunidade Única em ARARAQUARA - SP | Tipo: Apartamento | Negociação: Venda Online | Sit,R$ 89.575,"Araraquara, Jardim América (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-apartamento-negociacao-venda-online-sit-1475349900
Oportunidade Única em ARARAQUARA - SP | Tipo: Casa | Negociação: Venda Online | Situação:,R$ 79.564,"Araraquara, Parque Residencial Jardim Ipanema",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-casa-negociacao-venda-online-situacao-1475343199
Oportunidade Única em ARARAQUARA - SP | Tipo: Casa | Negociação: Venda Online | Situação:,R$ 342.875,"Araraquara, Cidade Jardim",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-casa-negociacao-venda-online-situacao-1475343185
Apartamento de leilão em CIDADE JARDIM / ARARAQUARA / SP | Leilão SFI - Edital Único,R$ 220.000,"Araraquara, Cidade Jardim",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-de-leilao-em-cidade-jardim-araraquara-sp-leilao-sfi-edital-unico-1475330364
Oportunidade Única em ARARAQUARA - SP | Tipo: Casa | Negociação: Venda Online | Situação:,R$ 79.564,"Araraquara, Parque Residencial Jardim Ipanema",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-casa-negociacao-venda-online-situacao-1475328302
Oportunidade Única em ARARAQUARA - SP | Tipo: Apartamento | Negociação: Venda Online | Sit,R$ 89.575,"Araraquara, Jardim América (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-apartamento-negociacao-venda-online-sit-1475327943
Oportunidade Única em ARARAQUARA - SP | Tipo: Casa | Negociação: Venda Online | Situação:,R$ 342.875,"Araraquara, Cidade Jardim",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-casa-negociacao-venda-online-situacao-1475325633
Oportunidade Única em ARARAQUARA - SP | Tipo: Casa | Negociação: Venda Online | Situação:,R$ 342.875,"Araraquara, Cidade Jardim",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-casa-negociacao-venda-online-situacao-1475325478
Oportunidade Única em ARARAQUARA - SP | Tipo: Apartamento | Negociação: Venda Online | Sit,R$ 89.575,"Araraquara, Jardim América (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-apartamento-negociacao-venda-online-sit-1475324929
Venda de Casas / Condomínio na cidade de Araraquara,R$ 1.300.000,"Araraquara, Altos do Jaraguá",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1475309231
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 285.000,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1475308967
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 145.000,"Araraquara, Vila Xavier (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1475308951
Apartamento 2 dormitórios com Lazer Completo!,R$ 150.000,"Araraquara, Campos Ville",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-2-dormitorios-com-lazer-completo-1475307982
APARTAMENTO COM MÓVEIS PLANEJADOS,R$ 350.000,"Araraquara, Vila Ferroviária",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-com-moveis-planejados-1475303684
Oportunidade Única em ARARAQUARA - SP | Tipo: Apartamento | Negociação: Venda Online | Sit,R$ 89.575,"Araraquara, Jardim América (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-apartamento-negociacao-venda-online-sit-1475302322
Oportunidade Única em ARARAQUARA - SP | Tipo: Casa | Negociação: Venda Online | Situação:,R$ 342.875,"Araraquara, Cidade Jardim",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-casa-negociacao-venda-online-situacao-1475301828
"Apartamento com 2 dormitórios à venda, 48 m² por R$ 202.538 - Vila Harmonia - Araraquara/S",R$ 202.539,"Araraquara, Vila Harmonia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-com-2-dormitorios-a-venda-48-m-por-r-202-538-vila-harmonia-araraquara-s-1475291430
"Casa com 2 dormitórios à venda, 278 m² por R$ 436.022 - Vila Melhado - Araraquara/SP",R$ 436.022,"Araraquara, Vila Melhado",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-com-2-dormitorios-a-venda-278-m-por-r-436-022-vila-melhado-araraquara-sp-1475291311
CASA TÉRREA - SANTA ANGELINA/JARDIM PRIMAVERA,R$ 325.000,"Araraquara, Vila José Bonifácio",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-terrea-santa-angelina-jardim-primavera-1475289990
Venda de Casas / Padrão na cidade de Araraquara,R$ 1.800.000,"Araraquara, Jardim Vitória",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1475285204
Venda de Apartamentos / Alto Padrão na cidade de Araraquara,R$ 560.000,"Araraquara, Vila Harmonia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-alto-padrao-na-cidade-de-araraquara-1475284300
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 1.252.000,"Araraquara, Vila Melhado",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1475283719
Venda de Casas / Condomínio na cidade de Araraquara,R$ 140.000,"Araraquara, Vila Melhado",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1475282662
Apartamento de Alto Padrão à Venda no Seiva Vila Harmonia em Araraquara,R$ 130.000,"Araraquara, Vila Harmonia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-de-alto-padrao-a-venda-no-seiva-vila-harmonia-em-araraquara-1475282582
Casa para Venda no Condominío Quinta do Salto em Ribeirão Preto/SP.,R$ 310.000,"Araraquara, Quinta do Salto Residence",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-para-venda-no-condominio-quinta-do-salto-em-ribeirao-preto-sp-1475282045
Lindo Apartamento Térreo com quintal mobiliado em Araraquara,R$ 345.000,"Araraquara, Parque Laranjeiras",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/lindo-apartamento-terreo-com-quintal-mobiliado-em-araraquara-1475280890
Apartamento para venda com 93 metros quadrados com 2 quartos em Centro - Araraquara - São,R$ 2.499.470,"Araraquara, Centro",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-para-venda-com-93-metros-quadrados-com-2-quartos-em-centro-araraquara-sao-1441985375
Venda-Casa de condomínio-Araraquara-Village Damha III,R$ 679.600,"Araraquara, Residencial Village Damha III",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-casa-de-condominio-araraquara-village-damha-iii-1475259367
"Apartamento com 2 dormitórios à venda, 63 m² por R$ 130.000,00 - Vila Harmonia - Araraquar",R$ 125.113,"Araraquara, Vila Harmonia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-com-2-dormitorios-a-venda-63-m-por-r-130-000-00-vila-harmonia-araraquar-1475256574
