preco,area_m2,quartos,banheiros,vagas,localizacao,imovel
240000.0,47,1.0,1.0,1.0,"Centro, Araraquara",Apartamento
380000.0,141,2.0,1.0,2.0,"Jardim Viaduto (Vila Xavier), Araraquara",Casa
150000.0,49,2.0,1.0,1.0,"Doutor Tancredo de Almeida Neves, Araraquara",Apartamento
130000.0,46,2.0,1.0,1.0,"Jardim América (Vila Xavier), Araraquara",Apartamento
395000.0,170,3.0,3.0,2.0,"Doutor Tancredo de Almeida Neves, Araraquara",Casa
130000.0,46,2.0,1.0,1.0,"Jardim América (Vila Xavier), Araraquara",Apartamento
395000.0,170,3.0,3.0,2.0,"Doutor Tancredo de Almeida Neves, Araraquara",Casa
530000.0,149,3.0,2.0,2.0,"Vila Sedenho, Araraquara",Casa
110000.0,40,2.0,1.0,1.0,"Jardim Quitandinha II, Araraquara",Apartamento
135000.0,41,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
145000.0,51,2.0,1.0,1.0,"Vila Xavier (Vila Xavier), Araraquara",Apartamento
380000.0,172,3.0,3.0,4.0,"Jardim Padre Anchieta, Araraquara",Casa
130000.0,43,2.0,1.0,1.0,"Solidariedade, Araraquara",Apartamento
180000.0,50,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
250000.0,205,1.0,2.0,3.0,"Jardim Águas do Paiol, Araraquara",comercial
159440.0,43,2.0,1.0,1.0,"Campos Ville, Araraquara",Apartamento
220000.0,70,2.0,1.0,2.0,"Jardim dos Oitis, Araraquara",Casa
170000.0,50,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
130000.0,44,2.0,1.0,1.0,"Jardim América (Vila Xavier), Araraquara",Apartamento
440000.0,217,3.0,3.0,2.0,"Jardim Brasil (Vila Xavier), Araraquara",comercial
170000.0,47,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
325000.0,53,2.0,1.0,1.0,"Jardim Botânico, Araraquara",Apartamento
320000.0,53,2.0,1.0,1.0,"Cidade Jardim, Araraquara",Apartamento
400000.0,177,3.0,1.0,2.0,"Parque Residencial Vale do Sol, Araraquara",Casa
220000.0,54,2.0,1.0,1.0,"Jardim Botânico, Araraquara",Apartamento
320000.0,140,3.0,1.0,2.0,"Parque Residencial Vale do Sol, Araraquara",comercial
350000.0,61,2.0,1.0,1.0,"Jardim Magnólias, Araraquara",Apartamento
135000.0,33,1.0,1.0,1.0,"Vila Santana, Araraquara",Apartamento
345000.0,58,2.0,2.0,2.0,"Jardim Magnólias, Araraquara",Apartamento
335000.0,140,3.0,2.0,1.0,"Vila Aracoara, Araraquara",Casa
145000.0,50,2.0,1.0,1.0,"Parque Residencial Iguatemi, Araraquara",Apartamento
320000.0,52,2.0,1.0,1.0,"Cidade Jardim, Araraquara",Apartamento
274490.0,50,2.0,1.0,1.0,"Vila Harmonia, Araraquara",Apartamento
425532.0,124,2.0,2.0,1.0,"Residencial Alamedas, Araraquara",comercial
150000.0,47,2.0,1.0,1.0,"Parque Laranjeiras, Araraquara",Apartamento
250000.0,48,2.0,1.0,1.0,"Vila Melhado, Araraquara",Apartamento
290000.0,51,2.0,1.0,1.0,"Residencial Cambuy, Araraquara",Apartamento
285000.0,85,2.0,1.0,1.0,"Jardim Maria Luiza, Araraquara",Casa
540000.0,215,3.0,2.0,2.0,"Centro, Araraquara",Casa
399990.0,256,3.0,3.0,4.0,"Jardim do Carmo, Araraquara",comercial
300000.0,181,2.0,2.0,2.0,"Centro, Araraquara",comercial
135000.0,117,2.0,1.0,2.0,"Parque das Hortências, Araraquara",comercial
250000.0,50,2.0,1.0,1.0,"Jardim Bandeirantes, Araraquara",Apartamento
368000.0,63,2.0,2.0,2.0,"Vila Ferroviária, Araraquara",Apartamento
130000.0,39,2.0,1.0,1.0,"Parque Residencial Iguatemi, Araraquara",Apartamento
192000.0,49,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
720000.0,296,3.0,3.0,4.0,"Vila Melhado, Araraquara",Casa
149000.0,49,2.0,1.0,1.0,"Jardim Primor, Araraquara",Apartamento
170000.0,53,2.0,1.0,1.0,"Solidariedade, Araraquara",Apartamento
180000.0,49,2.0,1.0,1.0,"Jardim Primor, Araraquara",Apartamento
150000.0,47,2.0,1.0,1.0,"Jardim Califórnia, Araraquara",Apartamento
400000.0,149,3.0,2.0,3.0,"Jardim Vitória, Araraquara",Casa
160000.0,55,2.0,1.0,1.0,"Doutor Tancredo de Almeida Neves, Araraquara",Apartamento
320000.0,48,2.0,1.0,2.0,"Jardim Marivan, Araraquara",Apartamento
165000.0,49,2.0,1.0,1.0,"Jardim Primor, Araraquara",Apartamento
310000.0,64,2.0,1.0,1.0,"Residencial Cambuy, Araraquara",Apartamento
325000.0,50,2.0,1.0,1.0,"Vila Suconasa, Araraquara",Apartamento
345000.0,111,3.0,2.0,3.0,"Parque Residencial Vale do Sol, Araraquara",Casa
390000.0,50,2.0,1.0,2.0,"Estrela e Kanashiro, Araraquara",Apartamento
250000.0,50,2.0,1.0,1.0,"Jardim Bandeirantes, Araraquara",Apartamento
550000.0,224,3.0,4.0,3.0,"Centro, Araraquara",comercial
300000.0,49,2.0,1.0,1.0,"Vila Suconasa, Araraquara",Apartamento
350000.0,148,3.0,2.0,2.0,"Residencial Acapulco, Araraquara",Casa
165000.0,55,2.0,1.0,1.0,"Doutor Tancredo de Almeida Neves, Araraquara",Apartamento
133000.0,45,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
170000.0,46,2.0,1.0,1.0,"Jardim das Flores, Araraquara",Apartamento
176000.0,43,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
145000.0,48,2.0,1.0,1.0,"Doutor Tancredo de Almeida Neves, Araraquara",Apartamento
150000.0,43,2.0,1.0,1.0,"Solidariedade, Araraquara",Apartamento
425000.0,58,2.0,1.0,1.0,"Vila Santana, Araraquara",Apartamento
255000.0,49,2.0,1.0,1.0,"Vila Harmonia, Araraquara",Apartamento
310000.0,48,2.0,1.0,2.0,"Jardim Marivan, Araraquara",Apartamento
320000.0,142,3.0,1.0,2.0,"Jardim Santa Júlia III, Araraquara",Casa
225000.0,36,1.0,1.0,1.0,"Centro, Araraquara",Apartamento
160000.0,45,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
370000.0,65,2.0,2.0,1.0,"Residencial Cambuy, Araraquara",Apartamento
600000.0,218,2.0,2.0,4.0,"Vila Xavier (Vila Xavier), Araraquara",comercial
180000.0,39,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
155000.0,44,2.0,1.0,1.0,"Jardim Califórnia, Araraquara",Apartamento
150000.0,51,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
250000.0,49,2.0,1.0,1.0,"Vila Furlan, Araraquara",Apartamento
230000.0,183,3.0,2.0,2.0,"Centro, Araraquara",comercial
210000.0,43,2.0,1.0,1.0,"Jardim Brasil (Vila Xavier), Araraquara",Apartamento
200000.0,40,1.0,1.0,1.0,"Vila Furlan, Araraquara",Flat
